product_id,title,price,store_id
1084,PORTATIL MACBOOK AIR 2017/I5/8GB RAM/128GB SSD ( 13 ),406.15,1|3
1946,GOOGLE CHROMECAST 3GEN,7.24,4|3
2194,MULTIHERRAMIENTA DREMEL 3000 CON MALETIN Y ACCESORIOS,10.08,1
2213,TELEFONO MOVIL SAMSUNG GALAXY S21+ 5G 128GB PRECINTADO,537.23,0
2308,MARTILLO PERCUTOR MILWAUKEE HD18 H M18+BATERIA 12.0AH+MALETIN,65.48,3
2360,DISCO DURO MULTIMEDIA GIGA TV HD 730 1TB,27.28,2|4
9988,PALETAS DE PIN PON TTR560,4.95,1
10090,MOVIL HUAWEI P SMART 32GB LIBRE + CAJA + CARGADOR,84.95,4
10996,GUITARRA CLASICA FENDER ESC105 + FUNDA + CUERDAS + AFINADOR,119.95,3
